ENTIDAD,MUNICIPIO,PARTIDO,PRESIDENTE_MUNICIPAL,PERIODO_FORMATO_ORIGINAL,Year
AGUASCALIENTES,AGUASCALIENTES,AXTB,LORENA MARTINEZ RODRIGUEZ,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,AGUASCALIENTES,COAL,LEONARDO MONTAÑEZ  CASTRO,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,AGUASCALIENTES,NA,MA ALICIA DE LA ROSA LOPEZ,de 1991 a 1992,1991
AGUASCALIENTES,AGUASCALIENTES,PAN,ALFREDO MARTIN REYES VELAZQUEZ,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,AGUASCALIENTES,PAN,LUIS ARMANDO REYNOSO FEMAT,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,AGUASCALIENTES,PAN,MARIA TERESA JIMENEZ ESQUIVEL,del 01-Ene-2017 al 31-Mar-2019,2017
AGUASCALIENTES,AGUASCALIENTES,PAN,MARIA TERESA JIMENEZ ESQUIVEL,del 15-Oct-2019 al 14-Oct-2021,2019
AGUASCALIENTES,AGUASCALIENTES,PAN,MARTIN OROZCO SANDOVAL,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,AGUASCALIENTES,PAN,RICARDO MAGDALENO RODRIGUEZ,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,AGUASCALIENTES,PRI,FERNANDO GOMEZ ESPARZA,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,AGUASCALIENTES,PRI,FRANCISCO GABRIEL ARELLANO ESPINOSA,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,AGUASCALIENTES,UPT,JUAN ANTONIO MARTIN DEL CAMPO,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,ASIENTOS,AXTB,BAUDELIO ESPARZA REYES,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,ASIENTOS,CAGYPT,LORENZO MARTIN CARRILLO LARA,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,ASIENTOS,MORENA,JOSE MANUEL GONZALEZ MOTA,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,ASIENTOS,MORENA,JUAN LUIS JASSO HERNANDEZ,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,ASIENTOS,PAN,DANIEL BRIANO HERNANDEZ,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,ASIENTOS,PAN,LUIS BERISTAIN,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,ASIENTOS,PNA,JOSE MANUEL GONZALEZ MOTA,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,ASIENTOS,PRI,JOSE LUIS REYES MEDINA,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,ASIENTOS,PRI,JOSE MARIA VILLALOBOS LECHUGA,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,ASIENTOS,PRI,RAUL REYES MACIAS,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,ASIENTOS,PRI,REYES CARLIN RANGEL,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,CALVILLO,AAA,JESUS SOTO LOPEZ,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,CALVILLO,AXTB,JORGE ALBERTO MARTINEZ VILLALOBOS,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,CALVILLO,COAL,DANIEL ROMO URRUTIA,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,CALVILLO,PAN,ADAN VALDIVIA LOPEZ,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,CALVILLO,PAN,FRANCISCO JAVIER FLORES SERNA,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,CALVILLO,PAN,FRANCISCO JAVIER LUEVANO MARTINEZ,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,CALVILLO,PAN,HUMBERTO GALLEGOS ESCOBAR,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,CALVILLO,PAN,J ROQUE RODRIGUEZ LOPEZ,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,CALVILLO,PRI,JOSE DE JESUS ORTIZ MACIAS,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,CALVILLO,PRI,JOSE MARIA MARTINEZ VILLALOBOS,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,CALVILLO,UPT,FRANCISCO JAVIER LUEVANO NUÑEZ,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,COSIO,APSP,GUSTAVO PADILLA ADAME,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,COSIO,AXTB,PABLO CORTES DE LA CRUZ,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,COSIO,PAN,LAMBERTO ADAME OCON,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,COSIO,PAN,MAGDALENO CERVANTES MARTINEZ,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,COSIO,PI,JUAN MANUEL VILLALPANDO ADAME,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,COSIO,PRI,ANDRES DE SANTIAGO DE LUNA,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,COSIO,PRI,ARNULFO CERVANTES ADAME,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,COSIO,PRI,CARLOS ESTRADA VALDEZ,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,COSIO,PRI,PABLO CORTES DE LA CRUZ,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,COSIO,PVEM,EUSEBIO ENRIQUE DELGADO ESPARZA,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,COSIO,PVEM,EUSEBIO ENRIQUE DELGADO ESPARZA,del 15-Oct-2021 al 14-Oct-2024,2021
AGUASCALIENTES,EL LLANO,AXTB,JOSE LUIS MARTINEZ RODRIGUEZ,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,EL LLANO,CAGYPT,RAMIRO SALAS PIZAÑA,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,EL LLANO,COAL,CEZAR PEDROZA  ORTEGA,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,EL LLANO,PAN,JOSE DE JESUS RODRIGUEZ ONTIVEROS,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,EL LLANO,PRI,FRANCISCO SILVA MURILLO,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,EL LLANO,PRI,FRANCISCO SILVA MURILLO,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,EL LLANO,PRI,JOSE MANUEL MARTINEZ RODRIGUEZ,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,EL LLANO,PRI,JUAN MANUEL RAMOS MIRELES,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,EL LLANO,PRI,SALVADOR MARTIN DEL CAMPO,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,EL LLANO,PT,CEZAR PEDROZA ORTEGA,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,EL LLANO,PT,CEZAR PEDROZA ORTEGA,del 15-Oct-2019 al 14-Oct-2021,2020
